seed,start_area,start_aspect_ratio,global_area,global_width,global_height,global_aspect_ratio,global_utilization,final_area,final_width,final_height,final_aspect_ratio,final_utilization,final_dead_space_ratio,polish_improvement,negative_count,overlap_count,global_iterations,polish_iterations,global_accepted,polish_accepted,global_improved,polish_improved
2026,554320,8.2,205350,370,555,1.5,0.8555928901874847,196176,366,536,1.46448087431694,0.8956039474757361,0.10439605252426387,0.044674945215485755,0,0,29700,59000,8505,4475,152,21
2027,551510,8.034351145038167,211491,373,567,1.520107238605898,0.8307492990245448,198594,374,531,1.4197860962566844,0.8846994370424082,0.11530056295759183,0.06098131835397251,0,0,29700,59000,8548,4680,159,31
2028,519894,5.552287581699346,208680,444,470,1.0585585585585586,0.8419398121525781,197036,434,454,1.0460829493087558,0.8916949186950608,0.10830508130493921,0.05579835154303239,0,0,29400,59000,8140,4312,145,25
42,550420,6.455479452054795,207432,536,387,1.3850129198966408,0.8470052836592232,196944,528,373,1.415549597855228,0.8921114631570396,0.1078885368429604,0.050561147749623975,0,0,29700,59000,8690,4803,135,21
1107,541788,6.0602006688963215,205516,382,538,1.4083769633507854,0.854901808131727,195202,382,511,1.337696335078534,0.9000727451562996,0.09992725484370035,0.05018587360594796,0,0,29700,59000,8367,4240,141,24
