seed,start_area,start_aspect_ratio,global_area,global_width,global_height,global_aspect_ratio,global_utilization,final_area,final_width,final_height,final_aspect_ratio,final_utilization,final_dead_space_ratio,polish_improvement,negative_count,overlap_count,global_iterations,polish_iterations,global_accepted,polish_accepted,global_improved,polish_improved
2026,945152,11.71830985915493,329670,405,814,2.0098765432098764,0.828616495283162,309060,404,765,1.8935643564356435,0.8838736814857956,0.11612631851420441,0.06251706251706252,0,0,31500,63500,10322,5627,201,45
2027,908114,9.956953642384105,332948,644,517,1.2456479690522244,0.8204584499681632,312130,637,490,1.3,0.8751802133726332,0.12481978662736681,0.06252628038011941,0,0,31500,63500,10509,6066,175,31
2028,835125,12.843137254901961,337561,581,581,1.0,0.8092463288116815,316316,572,553,1.0343580470162748,0.8635984268895661,0.13640157311043388,0.06293677290919271,0,0,31200,64000,9923,6118,164,30
42,903108,8.656346749226007,330928,344,962,2.796511627906977,0.8254665667456366,314035,347,905,2.6080691642651295,0.8698711927014505,0.13012880729854948,0.05104735773340424,0,0,31500,63500,9851,5587,234,42
1107,855072,10.309027777777779,323613,369,877,2.3766937669376693,0.844125545018278,312011,371,841,2.266846361185984,0.8755140043139504,0.12448599568604957,0.03585146455797511,0,0,31200,63500,9831,5861,219,26
