seed,start_area,start_aspect_ratio,global_area,global_width,global_height,global_aspect_ratio,global_utilization,final_area,final_width,final_height,final_aspect_ratio,final_utilization,final_dead_space_ratio,polish_improvement,negative_count,overlap_count,global_iterations,polish_iterations,global_accepted,polish_accepted,global_improved,polish_improved
2026,464686,5.8021201413427566,207046,643,322,1.9968944099378882,0.8669619311650552,194922,637,306,2.081699346405229,0.9208863032392444,0.07911369676075564,0.05855703563459328,0,0,29100,59000,5408,2226,97,21
2027,395254,7.537117903930131,197757,387,511,1.3204134366925064,0.9076846837280096,190848,384,497,1.2942708333333333,0.9405443075117371,0.05945569248826288,0.03493681639587979,0,0,28500,58500,4533,1741,98,16
2028,468660,4.548286604361371,205506,441,466,1.056689342403628,0.873458682471558,195315,435,449,1.032183908045977,0.9190333563730384,0.0809666436269616,0.04958979299874456,0,0,29100,59000,5035,2066,97,17
42,413270,5.0524475524475525,199430,407,490,1.203931203931204,0.9000702000702001,191470,410,467,1.1390243902439023,0.9374889016556118,0.06251109834438817,0.039913754199468486,0,0,28500,58500,4617,2261,90,15
1107,459928,3.1518324607329844,198660,385,516,1.3402597402597403,0.9035588442565187,194274,387,502,1.297157622739018,0.9239579151095875,0.07604208489041253,0.02207792207792208,0,0,29100,58500,4948,1871,111,11
